Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Aires	Spn	LOCATION/LOCATION	33.73	38.14	-1.01	37.13
)	Punct	O	N/A	N/A	N/A	N/A
—	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	21.5	34.41	-1.01	33.4
nos	Spn	O	23.42	47.28	-1.01	46.27
invitaría	Spn	O	15.97	52.39	-1.01	51.38
con	Spn	O	33.09	47.17	-1.01	46.160000000000004
Paulina	Spn	PERSON/PERSON	21.91	30.06	-1.01	29.049999999999997
Vinderman	Spn	PERSON/PERSON	27.59	31.82	-1.01	30.81
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
una	Spn	O	21.97	46.98	-1.01	45.97
famosa	Spn	O	20.42	41.16	-1.01	40.15
cena	Spn	O	22.32	40.6	-1.01	39.59
griega	Spn	O	20.59	33.87	-1.01	32.86
"	Punct	O	N/A	N/A	N/A	N/A
en	Spn	O	25.45	42.54	-1.01	41.53
su	Spn	O	14.41	35.66	-1.01	34.65
casa	Spn	O	21.54	47.0	-1.01	45.99
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
pero	Spn	O	24.95	52.4	-1.01	51.39
we	Eng	O	46.45	7.69	-2.38	44.07
neverheard	Eng	O	53.38	9.35	-0.8	52.580000000000005
from	Eng	O	48.14	12.52	-0.8	47.34
him	Eng	O	39.42	13.41	-0.8	38.620000000000005
again	Eng	O	50.85	25.65	-0.8	50.050000000000004
.	Punct	O	N/A	N/A	N/A	N/A
Hmmm	Eng	O/PERSON	9.54	1.67	-0.8	8.739999999999998
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
este	Spn	O	27.28	52.33	-2.38	49.949999999999996
behavior	Eng	O	40.67	14.15	-2.38	38.29
—	Punct	O	N/A	N/A	N/A	N/A
este	Spn	O	27.28	52.33	-2.38	49.949999999999996
lanzarse	Spn	O	27.03	45.07	-1.01	44.06
y	Spn	O	21.5	34.41	-1.01	33.4
luego	Spn	O	17.45	48.66	-1.01	47.65
recular	Eng	O	40.55	38.53	-2.38	38.169999999999995
endlessly	Eng	O	33.06	9.41	-0.8	32.260000000000005
—	Punct	O	N/A	N/A	N/A	N/A
¿	Punct	O	N/A	N/A	N/A	N/A
será	Spn	O	7.28	41.91	-2.38	39.529999999999994
emblemático	Spn	O	10.58	37.38	-1.01	36.370000000000005
del	Spn	O	26.4	45.85	-1.01	44.84
“	Punct	O	N/A	N/A	N/A	N/A
histeriqueo	Spn	O	20.73	30.48	-1.01	29.47
”	Punct	O	N/A	N/A	N/A	N/A
porteño	Spn	O	15.15	35.01	-1.01	34.0
del	Spn	O	26.4	45.85	-1.01	44.84
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
siempre	Spn	O	20.12	59.19	-1.01	58.18
te	Spn	O	25.61	41.33	-1.01	40.32
me	Spn	O	41.15	43.0	-1.01	41.99
quejás	Spn	O	10.73	33.95	-1.01	32.940000000000005
?	Punct	O	N/A	N/A	N/A	N/A
AySil	Spn	O	8.95	14.99	-1.01	13.98
"	Punct	O	N/A	N/A	N/A	N/A
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
cuántos	Spn	O	11.31	55.27	-1.01	54.260000000000005
lugares	Spn	O	23.94	51.8	-1.01	50.79
nos	Spn	O	23.42	47.28	-1.01	46.27
shevó	Spn	O	6.84	17.02	-1.01	16.009999999999998
ese	Spn	O	27.34	45.79	-1.01	44.78
tu	Spn	O	14.03	32.67	-1.01	31.66
little	Eng	O	62.57	24.78	-2.38	60.19
white	Eng	O	48.39	21.6	-0.8	47.59
car	Eng	O	41.34	34.51	-0.8	40.540000000000006
"	Punct	O	N/A	N/A	N/A	N/A
incluso	Spn	O	31.56	38.69	-2.38	36.309999999999995
al	Spn	O	23.37	36.72	-1.01	35.71
final	Eng	O	44.2	38.54	-2.38	41.82
"	Punct	O	N/A	N/A	N/A	N/A
al	Spn	O	23.37	36.72	-2.38	34.339999999999996
aeropuerto	Spn	O	26.71	44.02	-1.01	43.010000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Unbelievably	Eng	O/PERSON	54.51	0.56	-2.38	52.129999999999995
"	Punct	O	N/A	N/A	N/A	N/A
sí	Spn	O	-2.55	35.52	-2.38	33.14
"	Punct	O	N/A	N/A	N/A	N/A
all	Eng	O	47.74	25.64	-2.38	45.36
the	Eng	O	60.83	27.05	-0.8	60.03
way	Eng	O	46.27	15.37	-0.8	45.470000000000006
out	Eng	O	48.81	12.75	-0.8	48.010000000000005
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
Ezeiza	Spn	LOCATION/LOCATION	2.66	13.38	-2.38	11.0
—	Punct	O	N/A	N/A	N/A	N/A
so	Eng	O	43.57	28.06	-2.38	41.19
much	Eng	O	50.21	32.0	-0.8	49.410000000000004
farther	Eng	O	47.33	20.86	-0.8	46.53
out	Eng	O	48.81	12.75	-0.8	48.010000000000005
than	Eng	O	56.77	25.06	-0.8	55.970000000000006
Barajas	Spn	PERSON/MISC	20.68	34.92	-2.38	32.54
is	Eng	O/MISC	44.66	21.08	-2.38	42.279999999999994
to	Eng	O/MISC	48.13	29.93	-0.8	47.330000000000005
Madrith	Eng	O/MISC	29.68	25.17	-0.8	28.88
"	Punct	O	N/A	N/A	N/A	N/A
por	Spn	O	25.21	47.08	-2.38	44.699999999999996
ejemplo	Spn	O	6.71	45.02	-1.01	44.010000000000005
"	Punct	O	N/A	N/A	N/A	N/A
o	Spn	O	22.76	28.33	-1.01	27.319999999999997
ni	Spn	O	16.53	32.18	-1.01	31.169999999999998
hablar	Spn	O	27.35	54.18	-1.01	53.17
"	Punct	O	N/A	N/A	N/A	N/A
LAX	Eng	O/MISC	20.74	13.79	-2.38	18.36
to	Eng	O/MISC	48.13	29.93	-0.8	47.330000000000005
Los	Spn	LOCATION/MISC	23.65	49.6	-2.38	47.22
Angeles	Spn	LOCATION/MISC	40.3	43.33	-1.01	42.32
.	Punct	O	N/A	N/A	N/A	N/A
Ezeiza	Spn	LOCATION/O	2.66	13.38	-1.01	12.370000000000001
is	Eng	O	44.66	21.08	-2.38	42.279999999999994
way	Eng	O	46.27	15.37	-0.8	45.470000000000006
the	Eng	O	60.83	27.05	-0.8	60.03
hell	Eng	O	43.67	19.29	-0.8	42.870000000000005
out	Eng	O	48.81	12.75	-0.8	48.010000000000005
en	Spn	O	25.45	42.54	-2.38	40.16
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
pampa	Spn	O	14.43	29.2	-1.01	28.189999999999998
"	Punct	O	N/A	N/A	N/A	N/A
o	Spn	O	22.76	28.33	-1.01	27.319999999999997
tal	Spn	O	35.47	36.38	-1.01	35.370000000000005
parece	Spn	O	32.27	54.66	-1.01	53.65
.	Punct	O	N/A	N/A	N/A	N/A
So	Eng	O	43.57	28.06	-2.38	41.19
much	Eng	O	50.21	32.0	-0.8	49.410000000000004
flat	Eng	O	34.37	10.32	-0.8	33.57
greenness	Eng	O	43.11	8.04	-0.8	42.31
antes	Spn	O	33.33	49.96	-2.38	47.58
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
ese	Spn	O	27.34	45.79	-1.01	44.78
monumental	Eng	O	38.81	38.75	-2.38	36.43
sprawl	Eng	O	24.16	3.73	-0.8	23.36
que	Spn	O	26.46	56.13	-2.38	53.75
es	Spn	O	21.58	44.75	-1.01	43.74
Buenos	Spn	LOCATION/LOCATION	18.33	55.86	-1.01	54.85
Aires	Spn	LOCATION/LOCATION	33.73	38.14	-1.01	37.13
looms	Eng	O	33.21	18.23	-2.38	30.830000000000002
into	Eng	O	51.19	37.94	-0.8	50.39
view	Eng	O	31.19	15.15	-0.8	30.39
.	Punct	O	N/A	N/A	N/A	N/A
Pues	Spn	O	24.99	50.16	-2.38	47.779999999999994
faster	Eng	O	46.24	29.57	-2.38	43.86
than	Eng	O	56.77	25.06	-0.8	55.970000000000006
lightning	Eng	O	48.95	10.89	-0.8	48.150000000000006
el	Spn	O	19.84	42.02	-2.38	39.64
Little	Eng	O/LOCATION	62.57	24.78	-2.38	60.19
White	Eng	O/LOCATION	48.39	21.6	-0.8	47.59
parecía	Spn	O	16.88	53.51	-2.38	51.129999999999995
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
perdía	Spn	O	13.19	43.41	-1.01	42.4
entre	Spn	O	29.82	49.86	-1.01	48.85
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
gloomy	Eng	O	20.46	10.22	-2.38	18.080000000000002
overcastness	Eng	O	44.28	0.48	-0.8	43.480000000000004
del	Spn	O	26.4	45.85	-2.38	43.47
winter	Eng	O	53.41	19.11	-2.38	51.029999999999994
porteño	Spn	O	15.15	35.01	-2.38	32.629999999999995
I	Eng	O/MISC	42.31	11.38	-2.38	39.93
was	Eng	O	51.72	16.52	-0.8	50.92
loathe	Eng	O	34.69	21.77	-0.8	33.89
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
leave	Eng	O	49.99	24.39	-0.8	49.190000000000005
after	Eng	O	50.9	25.22	-0.8	50.1
having	Eng	O	63.93	14.44	-0.8	63.13
survived	Eng	O	48.69	14.92	-0.8	47.89
“	Punct	O	N/A	N/A	N/A	N/A
el	Spn	O	19.84	42.02	-2.38	39.64
verano	Spn	O	26.51	44.98	-1.01	43.97
más	Spn	O	6.97	45.12	-1.01	44.11
caluroso	Spn	O	20.5	34.85	-1.01	33.84
en	Spn	O	25.45	42.54	-1.01	41.53
30	Num	O	N/A	N/A	N/A	N/A
años	Spn	O	10.27	45.21	-1.01	44.2
"	Punct	O	N/A	N/A	N/A	N/A
”	Punct	O	N/A	N/A	N/A	N/A
según	Spn	O	13.16	38.34	-1.01	37.330000000000005
La	Spn	O/MISC	18.68	44.74	-1.01	43.730000000000004
Nación	Spn	O/MISC	6.56	49.85	-1.01	48.84
yClarín	Spn	O/MISC	0.19	10.93	-1.01	9.92
.	Punct	O	N/A	N/A	N/A	N/A
Y	Spn	O	21.5	34.41	-1.01	33.4
lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
rápido	Spn	O	9.84	48.23	-1.01	47.22
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
íbamos	Spn	O	-0.74	38.4	-1.01	37.39
y	Spn	O	21.5	34.41	-1.01	33.4
las	Spn	O	34.62	47.63	-1.01	46.620000000000005
confidencias	Spn	O	33.99	65.81	-1.01	64.8
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
cambiábamos	Spn	O	13.65	55.23	-1.01	54.22
"	Punct	O	N/A	N/A	N/A	N/A
medio	Spn	O	30.1	46.47	-1.01	45.46
desperately	Eng	O	50.59	37.82	-2.38	48.21
"	Punct	O	N/A	N/A	N/A	N/A
as	Eng	O	41.38	30.98	-0.8	40.580000000000005
if	Eng	O	41.12	4.97	-0.8	40.32
knowing	Eng	O	65.04	5.5	-0.8	64.24000000000001
que	Spn	O	26.46	56.13	-2.38	53.75
iba	Spn	O	9.62	33.57	-1.01	32.56
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
ser	Spn	O	33.36	42.43	-1.01	41.42
la	Spn	O	18.68	44.74	-1.01	43.730000000000004
última	Spn	O	2.51	43.38	-1.01	42.370000000000005
vez	Spn	O	10.62	37.2	-1.01	36.190000000000005
"	Punct	O	N/A	N/A	N/A	N/A
the	Eng	O	60.83	27.05	-2.38	58.449999999999996
last	Eng	O	47.62	23.93	-0.8	46.82
time	Eng	O	53.99	32.6	-0.8	53.190000000000005
for	Eng	O	47.94	28.79	-0.8	47.14
so	Eng	O	43.57	28.06	-0.8	42.77
long	Eng	O	47.87	18.74	-0.8	47.07
.	Punct	O	N/A	N/A	N/A	N/A
Yo	Spn	O	24.54	38.85	-2.38	36.47
quería	Spn	O	9.12	60.77	-1.01	59.760000000000005
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
se	Spn	O	30.91	42.67	-1.01	41.660000000000004
perdiera	Spn	O	19.69	57.18	-1.01	56.17
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
Little	Eng	O/MISC	62.57	24.78	-2.38	60.19
White	Eng	O/MISC	48.39	21.6	-0.8	47.59
de	Spn	O/MISC	26.21	47.06	-2.38	44.68
adeveras	Spn	O/MISC	24.29	40.08	-1.01	39.07
"	Punct	O	N/A	N/A	N/A	N/A
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
nos	Spn	O	23.42	47.28	-1.01	46.27
perdiera	Spn	O	19.69	57.18	-1.01	56.17
"	Punct	O	N/A	N/A	N/A	N/A
a	Spn	O	39.06	38.09	-1.01	37.080000000000005
lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
Chet	Eng	PERSON/PERSON	29.9	17.62	-2.38	27.52
Baker	Eng	PERSON/PERSON	33.49	21.3	-0.8	32.690000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Let	Eng	O	41.33	17.8	-0.8	40.53
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
get	Eng	O/MISC	48.04	13.69	-0.8	47.24
lost	Eng	O/MISC	43.61	19.3	-0.8	42.81
.	Punct	O	N/A	N/A	N/A	N/A
No	Spn	O	39.04	44.89	-2.38	42.51
quería	Spn	O	9.12	60.77	-1.01	59.760000000000005
irme	Spn	O	19.31	37.91	-1.01	36.9
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
ninguna	Spn	O	17.31	54.73	-1.01	53.72
manera	Spn	O	23.48	52.79	-1.01	51.78
y	Spn	O	21.5	34.41	-1.01	33.4
todavía	Spn	O	19.44	57.96	-1.01	56.95
"	Punct	O	N/A	N/A	N/A	N/A
even	Eng	O	50.32	32.92	-2.38	47.94
now	Eng	O	47.81	13.39	-0.8	47.010000000000005
"	Punct	O	N/A	N/A	N/A	N/A
when	Eng	O	56.49	15.56	-0.8	55.690000000000005
I	Eng	O/MISC	42.31	11.38	-0.8	41.510000000000005
look	Eng	O/MISC	43.99	14.72	-0.8	43.190000000000005
up	Eng	O/MISC	37.07	9.61	-0.8	36.27
de	Spn	O	26.21	47.06	-2.38	44.68
ehta	Spn	O	8.9	20.15	-1.01	19.139999999999997
could	Eng	O	58.14	16.9	-2.38	55.76
be	Eng	O	42.62	20.92	-0.8	41.82
anywhere	Eng	O	71.01	21.47	-0.8	70.21000000000001
pantasha	Spn	O	15.71	29.57	-2.38	27.19
"	Punct	O	N/A	N/A	N/A	N/A
through	Eng	O	66.36	6.77	-2.38	63.98
these	Eng	O	62.33	30.24	-0.8	61.53
tropical	Eng	O	42.88	32.78	-0.8	42.080000000000005
floral	Spn	O	27.61	31.0	-2.38	28.62
curtains	Eng	O	36.98	18.18	-2.38	34.599999999999994
at	Eng	O	43.35	13.78	-0.8	42.550000000000004
this	Eng	O	59.86	22.07	-0.8	59.06
bland	Eng	O	43.9	26.72	-0.8	43.1
suburban	Eng	O	39.97	24.14	-0.8	39.17
dry	Eng	O	32.7	14.63	-0.8	31.900000000000002
California	Eng	LOCATION/LOCATION	47.87	46.55	-0.8	47.07
cielo	Spn	O	12.41	45.12	-2.38	42.739999999999995
"	Punct	O	N/A	N/A	N/A	N/A
at	Eng	O	43.35	13.78	-2.38	40.97
this	Eng	O	59.86	22.07	-0.8	59.06
blinding	Eng	O	43.9	4.84	-0.8	43.1
sun	Eng	O	30.99	24.6	-0.8	30.189999999999998
me	Spn	O	41.15	43.0	-2.38	40.62
siento	Spn	O	25.29	56.99	-1.01	55.980000000000004
lost	Eng	O	43.61	19.3	-2.38	41.23
"	Punct	O	N/A	N/A	N/A	N/A
des	Spn	O	32.3	43.0	-2.38	40.62
/	Punct	O	N/A	N/A	N/A	N/A
plazada	Spn	O	20.13	41.54	-1.01	40.53
"	Punct	O	N/A	N/A	N/A	N/A
en	Spn	O	25.45	42.54	-1.01	41.53
un	Spn	O	21.77	40.51	-1.01	39.5
time	Eng	O	53.99	32.6	-2.38	51.61
warp	Eng	O	22.79	-4.58	-0.8	21.99
"	Punct	O	N/A	N/A	N/A	N/A
aturdida	Spn	O	17.7	32.83	-2.38	30.45
y	Spn	O	21.5	34.41	-1.01	33.4
sé	Spn	O	-2.55	33.09	-1.01	32.080000000000005
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
es	Spn	O	21.58	44.75	-1.01	43.74
apenitas	Spn	O	20.23	41.65	-1.01	40.64
otoño	Spn	O	9.95	24.11	-1.01	23.099999999999998
en	Spn	O	25.45	42.54	-1.01	41.53
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
sur	Spn	O	27.76	25.91	-1.01	24.9
"	Punct	O	N/A	N/A	N/A	N/A
mi	Spn	O	18.08	38.03	-1.01	37.02
(	Punct	O	N/A	N/A	N/A	N/A
otro	Spn	O	17.84	46.06	-1.01	45.050000000000004
)	Punct	O	N/A	N/A	N/A	N/A
sur	Spn	O	27.76	25.91	-1.01	24.9
donde	Spn	O	31.06	50.47	-1.01	49.46
puede	Spn	O	17.51	54.99	-1.01	53.980000000000004
estar	Spn	O	27.68	54.01	-1.01	53.0
haciendo	Spn	O	20.79	65.91	-1.01	64.89999999999999
"	Punct	O	N/A	N/A	N/A	N/A
capaz	Spn	O	12.98	34.9	-1.01	33.89
"	Punct	O	N/A	N/A	N/A	N/A
hasta	Spn	O	26.75	52.89	-1.01	51.88
más	Spn	O	6.97	45.12	-1.01	44.11
calor	Spn	O	32.48	41.14	-1.01	40.13
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
aquí	Spn	O	-1.09	47.65	-1.01	46.64
"	Punct	O	N/A	N/A	N/A	N/A
ahora	Spn	O	14.92	53.85	-1.01	52.84
"	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	21.5	34.41	-1.01	33.4
especialmente	Spn	O	36.7	75.93	-1.01	74.92
me	Spn	O	41.15	43.0	-1.01	41.99
acuerdo	Spn	O	16.48	55.65	-1.01	54.64
del	Spn	O	26.4	45.85	-1.01	44.84
wetness	Eng	O	38.58	2.67	-2.38	36.199999999999996
"	Punct	O	N/A	N/A	N/A	N/A
oh	Eng	O	42.22	16.44	-0.8	41.42
"	Punct	O	N/A	N/A	N/A	N/A
esa	Spn	O	13.84	44.15	-2.38	41.769999999999996
too	Eng	O	46.65	16.45	-2.38	44.269999999999996
-	Punct	O	N/A	N/A	N/A	N/A
close	Eng	O	48.45	29.97	-0.8	47.650000000000006
"	Punct	O	N/A	N/A	N/A	N/A
abrazante	Spn	O	16.68	44.36	-2.38	41.98
humedad	Spn	O	29.18	34.44	-1.01	33.43
para	Spn	O	27.32	53.43	-1.01	52.42
esta	Spn	O	22.4	52.76	-1.01	51.75
mujer	Spn	O	19.33	48.1	-1.01	47.09
del	Spn	O	26.4	45.85	-1.01	44.84
California	Eng	LOCATION/LOCATION	47.87	46.55	-2.38	45.489999999999995
desert	Eng	O	39.41	28.56	-0.8	38.61
.	Punct	O	N/A	N/A	N/A	N/A
Teextraño	Spn	O/PERSON	12.63	34.16	-2.38	31.779999999999998
Silbana	Spn	O/PERSON	19.9	33.45	-1.01	32.440000000000005
"	Punct	O	N/A	N/A	N/A	N/A
y	Spn	O	21.5	34.41	-1.01	33.4
sé	Spn	O	-2.55	33.09	-1.01	32.080000000000005
que	Spn	O	26.46	56.13	-1.01	55.120000000000005
tenéh	Spn	O	17.6	16.16	-1.01	15.15
razón	Spn	O	9.17	44.36	-1.01	43.35
.	Punct	O	N/A	N/A	N/A	N/A
“	Punct	O	N/A	N/A	N/A	N/A
Lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
mejor	Spn	O	24.56	52.02	-1.01	51.010000000000005
mata	Spn	O	24.62	41.75	-1.01	40.74
lo	Spn	O	19.44	42.92	-1.01	41.910000000000004
bueno	Spn	O	18.87	52.54	-1.01	51.53
"	Punct	O	N/A	N/A	N/A	N/A
”	Punct	O	N/A	N/A	N/A	N/A
or	Eng	O	41.56	23.53	-2.38	39.18
whatever	Eng	O	71.74	14.55	-0.8	70.94
it	Eng	O	50.11	11.76	-0.8	49.31
was	Eng	O	51.72	16.52	-0.8	50.92
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
said	Eng	O	47.81	17.28	-0.8	47.010000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Y	Spn	O	21.5	34.41	-2.38	32.029999999999994
tenemosque	Spn	O	24.53	63.19	-1.01	62.18
atravesar	Spn	O	21.87	42.67	-1.01	41.660000000000004
barreras	Spn	O	29.38	49.87	-1.01	48.86
for	Eng	O	47.94	28.79	-2.38	45.559999999999995
our	Eng	O	44.71	13.25	-0.8	43.910000000000004
writing	Eng	O	53.56	-1.8	-0.8	52.760000000000005
"	Punct	O	N/A	N/A	N/A	N/A
las	Spn	O	34.62	47.63	-2.38	45.25
barreras	Spn	O	29.38	49.87	-1.01	48.86
that	Eng	O	68.72	14.42	-2.38	66.34
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
erected	Eng	O	30.96	24.62	-0.8	30.16
by	Eng	O	35.52	13.53	-0.8	34.720000000000006
life	Eng	O	43.73	20.47	-0.8	42.93
"	Punct	O	N/A	N/A	N/A	N/A
by	Eng	O	35.52	13.53	-0.8	34.720000000000006
children	Eng	O	63.89	31.23	-0.8	63.09
"	Punct	O	N/A	N/A	N/A	N/A
jobs	Eng	O	34.62	7.58	-0.8	33.82
"	Punct	O	N/A	N/A	N/A	N/A
lost	Eng	O	43.61	19.3	-0.8	42.81
and	Eng	O	58.08	26.56	-0.8	57.28
stolen	Eng	O	38.14	21.64	-0.8	37.34
cars	Eng	O	46.05	21.53	-0.8	45.25
"	Punct	O	N/A	N/A	N/A	N/A
students	Eng	O	58.52	6.16	-0.8	57.720000000000006
"	Punct	O	N/A	N/A	N/A	N/A
sick	Eng	O	36.05	14.71	-0.8	35.25
relatives	Eng	O	58.68	36.04	-0.8	57.88
.	Punct	O	N/A	N/A	N/A	N/A
Y	Spn	O	21.5	34.41	-2.38	32.029999999999994
las	Spn	O	34.62	47.63	-1.01	46.620000000000005
barreras	Spn	O	29.38	49.87	-1.01	48.86
that	Eng	O	68.72	14.42	-2.38	66.34
we	Eng	O	46.45	7.69	-0.8	45.650000000000006
ourselves	Eng	O	61.25	17.59	-0.8	60.45
put	Eng	O	43.43	16.46	-0.8	42.63
up	Eng	O	37.07	9.61	-0.8	36.27
:	Punct	O	N/A	N/A	N/A	N/A
esos	Spn	O	14.23	50.05	-2.38	47.669999999999995
evil	Eng	O	27.67	21.25	-2.38	25.290000000000003
"	Punct	O	N/A	N/A	N/A	N/A
stymying	Eng	O	37.06	6.1	-0.8	36.260000000000005
thoughts	Eng	O	66.52	6.61	-0.8	65.72
about	Eng	O	62.63	15.69	-0.8	61.830000000000005
(	Punct	O	N/A	N/A	N/A	N/A
it	Eng	O/MISC	50.11	11.76	-0.8	49.31
)	Punct	O	N/A	N/A	N/A	N/A
never	Eng	O	54.2	28.98	-0.8	53.400000000000006
being	Eng	O	56.06	12.46	-0.8	55.260000000000005
good	Eng	O	51.82	19.01	-0.8	51.02
enough	Eng	O	52.85	15.39	-0.8	52.050000000000004
"	Punct	O	N/A	N/A	N/A	N/A
never	Eng	O	54.2	28.98	-0.8	53.400000000000006
original	Eng	O	51.03	35.79	-0.8	50.230000000000004
enough	Eng	O	52.85	15.39	-0.8	52.050000000000004
"	Punct	O	N/A	N/A	N/A	N/A
never	Eng	O	54.2	28.98	-0.8	53.400000000000006
smart	Eng	O	41.14	5.39	-0.8	40.34
enough	Eng	O	52.85	15.39	-0.8	52.050000000000004
"	Punct	O	N/A	N/A	N/A	N/A
never	Eng	O	54.2	28.98	-0.8	53.400000000000006
clever	Eng	O	40.09	23.31	-0.8	39.290000000000006
enough	Eng	O	52.85	15.39	-0.8	52.050000000000004
"	Punct	O	N/A	N/A	N/A	N/A
que	Spn	O	26.46	56.13	-2.38	53.75
there	Eng	O	70.66	28.64	-2.38	68.28
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
not	Eng	O	48.64	20.26	-0.8	47.84
enough	Eng	O	52.85	15.39	-0.8	52.050000000000004
time	Eng	O	53.99	32.6	-0.8	53.190000000000005
que	Spn	O	26.46	56.13	-2.38	53.75
someone	Eng	O	66.44	26.04	-2.38	64.06
else	Eng	O	44.21	24.26	-0.8	43.410000000000004
probably	Eng	O	71.13	31.99	-0.8	70.33
already	Eng	O	51.7	19.14	-0.8	50.900000000000006
said	Eng	O	47.81	17.28	-0.8	47.010000000000005
it	Eng	O/MISC	50.11	11.76	-0.8	49.31
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
mejor	Spn	O	24.56	52.02	-1.01	51.010000000000005
.	Punct	O	N/A	N/A	N/A	N/A
Gotta	Eng	O	29.43	19.4	-2.38	27.05
push	Eng	O	35.32	18.51	-0.8	34.52
through	Eng	O	66.36	6.77	-0.8	65.56
esas	Spn	O	22.42	48.12	-2.38	45.739999999999995
barreras	Spn	O	29.38	49.87	-1.01	48.86
"	Punct	O	N/A	N/A	N/A	N/A
to	Eng	O	48.13	29.93	-2.38	45.75
each	Eng	O	40.3	10.63	-0.8	39.5
other	Eng	O	57.25	23.13	-0.8	56.45
"	Punct	O	N/A	N/A	N/A	N/A
push	Eng	O	35.32	18.51	-0.8	34.52
right	Eng	O	61.96	14.85	-0.8	61.160000000000004
through	Eng	O	66.36	6.77	-0.8	65.56
the	Eng	O	60.83	27.05	-0.8	60.03
fantasmas	Spn	O	31.18	51.53	-2.38	49.15
of	Eng	O	45.37	12.91	-2.38	42.989999999999995
our	Eng	O	44.71	13.25	-0.8	43.910000000000004
famous	Eng	O	37.39	26.39	-0.8	36.59
dead	Eng	O	40.09	22.17	-0.8	39.290000000000006
daddies	Eng	O	35.21	27.39	-0.8	34.410000000000004
—	Punct	O	N/A	N/A	N/A	N/A
vos	Spn	O	16.53	35.41	-2.38	33.029999999999994
"	Punct	O	N/A	N/A	N/A	N/A
hija	Spn	O	13.77	40.99	-1.01	39.980000000000004
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
León	Spn	O/PERSON	11.32	30.34	-1.01	29.33
"	Punct	O	N/A	N/A	N/A	N/A
primer	Spn	O	39.32	51.79	-1.01	50.78
psiquiatra	Spn	O	6.43	34.52	-1.01	33.510000000000005
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
Alejandra	Spn	PERSON/PERSON	11.06	39.32	-1.01	38.31
Pizarnik	Spn	PERSON/PERSON	5.12	5.98	-1.01	4.970000000000001
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
me	Spn	O	41.15	43.0	-2.38	40.62
